cellDN,controllerName,mcc,mnc,cellId,,,cellLac,cellExpectedCellRadius,cellType,cellDeploymentType,cellSectorIdentifier,cellBtsId,cellTechnology,siteIdentifier,cellid,siteAddress,siteTopologyName,siteT,siteLocationLongitude,siteLocationLatitude,siteLocationGroundHeight,antennaType,antennaAttenuationPattern,antennaGsmPropagationModel,antennaWcdmaPropagationModel,antennaEffectiveHeight,antennaBearing,antennaTilt,antennaLocationLongitude,antennaLocationLatitude,antennaState,cellName,antennaId,antennaHorBeamwidth,antennaTotalTilt,antennaVerBeamwidth,antennaDirectivity,antennaLineLoss
PLMN-PLMN/BSC-900649/BCF-1088/BTS-1090,KSMBSC2118,639,2,652,2,,5077,,,,3,1090,GSM,13735_WN_WN0065,13735_WN_WN00652,13735_WN_WN0065-Kandenge_OUTL_MGF,13735_WN_WN0065-Kandenge_OUTL_MGF,13735,34.1788184,0.017267657,0,K80010310_900_00V,,,,14,263,0,34.1788184,0.017267657,1,KANDENGP2,,,,,,
PLMN-PLMN/BSC-900649/BCF-1949/BTS-1954,KSMBSC2118,639,2,8406,6,,5162,,,,6,1954,GSM,17206_WN_WN0840,17206_WN_WN08406,17206_WN_WN0840-Agok_Village_Junction_MGF_OUTL,17206_WN_WN0840-Agok_Village_Junction_MGF_OUTL,17206,34.32622,-0.33303,0,K80010868_1800_04V,,,,30,260,0,34.32622,-0.33303,1,AGOKVILLAGEJUN6,,,,,,
PLMN-PLMN/BSC-900649/BCF-1865/BTS-1867,KSMBSC2118,639,2,4812,2,,5077,,,,3,1867,GSM,15135_WN_WN0481,15135_WN_WN04812,15135_WN_WN0481-Got_Serawuongo_OUTL_MGF,15135_WN_WN0481-Got_Serawuongo_OUTL_MGF,15135,34.12568056,-0.151625,0,K80010310_900_03V,,,,44,298,2,34.12568056,-0.151625,1,SERAWUONGP2,,,,,,
PLMN-PLMN/BSC-900649/BCF-1937/BTS-1942,KSMBSC2118,639,2,7246,6,,5075,,,,6,1942,GSM,16928_WN_WN0724,16928_WN_WN07246,16928_WN_WN0724-Nyanganga_OUTL,16928_WN_WN0724-Nyanganga_OUTL,16928,34.292,0.0131,0,K80010504_1800_02V,,,,35,300,0,34.292,0.0131,1,NYANGANGA6,,,,,,
PLMN-PLMN/BSC-900649/BCF-1955/BTS-1956,KSMBSC2118,639,2,7741,1,,5077,,,,2,1956,GSM,17880_WN_WN0774,17880_WN_WN07741,17880_WN_WN0774-Othach_MGF_OUTL,17880_WN_WN0774-Othach_MGF_OUTL,17880,34.20677778,-0.028527778,,K80010868_900_03V,,,,45,120,0,34.20677778,-0.028527778, ,OTHACH1,,,,,,
PLMN-PLMN/BSC-900649/BCF-1124/BTS-1124,KSMBSC2118,639,2,2950,0,,5075,,,,1,1124,GSM,13900_WN_WN0295,13900_WN_WN02950,13900_WN_WN0295-Bar_Obel_OUTL_MGF,13900_WN_WN0295-Bar_Obel_OUTL_MGF,13900,34.33409948,-0.037449749,0,K80010310_900_02V,,,,44,24,4,34.33409948,-0.037449749,1,BAROBEP0,,,,,,
PLMN-PLMN/BSC-900649/BCF-1961/BTS-1964,KSMBSC2118,639,2,6974,4,,5075,,,,4,1964,GSM,18285_WN_WN0697,18285_WN_WN06974,18285_WN_WN0697-Atilili_Junction_NEW,18285_WN_WN0697-Atilili_Junction_NEW,18285,34.259525,-0.102975,1265,K80010868_1800_03V,,,,34,50,0,34.259525,-0.102975, ,ATILIJNCTN4,,,,,,
PLMN-PLMN/BSC-900649/BCF-82/BTS-86,KSMBSC2118,639,2,2965,5,,5075,,,,5,86,GSM,13285_WN_WN0296,13285_WN_WN02965,13285_WN_WN0296-Kandindi_OUTL_MGF,13285_WN_WN0296-Kandindi_OUTL_MGF,13285,34.365701,-0.173351,0,K742266_1800_02V,,,,30,120,3,34.365701,-0.173351,1,KANDINDIDCS5,,,,,,
PLMN-PLMN/BSC-900649/BCF-1638/BTS-1640,KSMBSC2118,639,2,5782,2,,5075,,,,3,1640,GSM,15549_WN_WN0578,15549_WN_WN05782,15549_WN_WN0578-Barding_Market_GenOFF_MGF,15549_WN_WN0578-Barding_Market_GenOFF_MGF,15549,34.3237,0.0168,0,K80010699_900Mhz_03V,,,,41,260,0,34.3237,0.0168,1,BARDING2,,,,,,
PLMN-PLMN/BSC-900649/BCF-130/BTS-132,KSMBSC2118,639,2,702,2,,5075,,,,3,132,GSM,12941_WN_WN0070,12941_WN_WN00702,12941_WN_WN0070-Bondo_TKL_WMX_OUTL_MGF,12941_WN_WN0070-Bondo_TKL_WMX_OUTL_MGF,12941,34.27390278,-0.099872222,0,K80010826_900Mhz_00V,,,,44,230,1,34.27390278,-0.099872222,1,BONDOTKL2,,,,,,
